Data (link pndb),Title,Description,Species,Gbif link,Where to find the dataset
https://pndb.opendatasoft.com/explore/assets/suivi-dispersion-graines-adventices-le-rheu-2021/,,,"Avena fatua, Lolium multiflorum, Sonchus asper, Fallopia convolvulus, Galium aparine, Anisantha sterilis
","https://www.gbif.org/species/2705297, https://www.gbif.org/species/4129708, https://www.gbif.org/species/3105782, https://www.gbif.org/species/6391461, https://www.gbif.org/species/2913548, https://www.gbif.org/species/2703648",https://www.osuris.fr/geonetwork/srv/api/records/eac20c96-d3f3-408e-895e-853191be9a85
https://pndb.opendatasoft.com/explore/assets/2008-frequence-dobservation-des-differentes-especes-de-cetaces-autour-de-lile-de-la-reunion-en-2008-selon-une-grille-de-maille-2kmx2km/,,,"Tursiops aduncus, Tursiops truncatus, Stenella longirostris, Stenella attenuata, Megaptera novaeangliae
","https://www.gbif.org/species/2440455, https://www.gbif.org/species/2440447, https://www.gbif.org/species/5220060, https://www.gbif.org/species/5220050, https://www.gbif.org/species/5220086",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/2f5c768c-a863-4a02-939c-e2ce8d21a183
https://pndb.opendatasoft.com/explore/assets/inventaire-des-herbiers-a-zostera-noltii-dans-la-masse-deau-cotiere-pertuis-breton-etat-2006-2007-surveillance-dce/,,,,,
https://pndb.opendatasoft.com/explore/assets/inventaire-des-herbiers-a-zostera-noltii-dans-la-masse-deau-cotiere-pertuis-breton-etat-2006-2007-surveillance-dce/,,,"Zostera noltii, Pertuis breton","https://www.gbif.org/species/2863938, https://www.gbif.org/dataset/cd157099-5db7-4e5a-800b-081180b89d84 ",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/3ad6702c-3988-4b1c-9a40-15ebfd4ea3b4
https://pndb.opendatasoft.com/explore/assets/distribution-de-la-faune-et-flore-marine-au-large-de-lile-de-re-synthese-1941/,,,"Zostera marina, Zostera noltii, Pholas dactylus, Cerastoderma edule, Mimachlamys varia, Chlamys varia, Crassostrea angulata, Mytilus edulis, Himanthalia elongata, Himanthalia lorea, Chondrus crispus ","https://www.gbif.org/species/2863967,  https://www.gbif.org/species/2863938, https://www.gbif.org/species/2288792, https://www.gbif.org/species/2286583, https://www.gbif.org/species/4373480, https://www.gbif.org/species/5188879, https://www.gbif.org/species/2286078, https://www.gbif.org/species/8288896, https://www.gbif.org/species/3197836, https://www.gbif.org/species/3197841, https://www.gbif.org/species/5279115",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/246e4896-c2f9-4db8-8514-983cf945e7f0
https://pndb.opendatasoft.com/explore/assets/inventaire-des-herbiers-a-zostera-noltii-dans-la-masse-deau-cotiere-pertuis-charentais-etat-2007-surveillance-dce/,,,"Zostera nolti, Zostera marina","https://www.gbif.org/species/2863938, https://www.gbif.org/species/2863967 ",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/ce687d0e-a2d5-4582-96ad-7c659a793a18
https://pndb.opendatasoft.com/explore/assets/cartographie-des-colonies-de-crepidules-crepidula-fornicata-linne-1758-dans-les-pertuis-charentais-etat-2008-2009/,,,Crepidula fornicata,https://www.gbif.org/species/5192789 ,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/b65a3720-1191-11df-8751-005056981ded
https://pndb.opendatasoft.com/explore/assets/inventaire-des-gisements-de-petoncle-chlamys-varia-l-dans-la-region-de-la-rochelle-letaconnoux-audouin-1956-etat-1951/,,,"Chlamys varia, Mimachlamys varia","https://www.gbif.org/species/5188879, https://www.gbif.org/species/4373480 ",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/b8d438e9-8fb7-47e1-a9bd-df74c4f0e910
https://pndb.opendatasoft.com/explore/assets/ghrsst-level-2p-global-near-real-time-subskin-sea-surface-temperature-version-82-v82-from-the-advanced-microwave-scanning-radiometer-2-amsr2-on-the-gcom-w-satellite-by-remss/,,,cannot find,,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/eed8c4c5-9d71-4406-b398-bae66fde62fb
https://pndb.opendatasoft.com/explore/assets/distribution-des-moules-mytilus-edulis-hors-des-parcs-dans-le-bassin-de-marennes-oleron-etat-1981/,,,Mytilus edulis,https://www.gbif.org/species/8288896 ,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/2774c383-37c5-4c61-bbb5-c7e5e25eb7df
https://pndb.opendatasoft.com/explore/assets/cartographie-des-colonies-de-crepidules-crepidula-fornicata-linne-1758-dans-les-pertuis-charentais-etat-2008-20090/,,,Crepidula fornicat,https://www.gbif.org/species/5192789 ,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/b9fc6466-6ce8-43aa-aca3-5a444b1815c8
https://pndb.opendatasoft.com/explore/assets/suivi-pluri-annuel-de-la-croissance-de-chataigniers-a-double-fin-production-de-bois-et-de-fruits-sur-un-dispositif-experimental-a-saint-caprais-46/,,,"Castanea sativa, Castanea crenata","https://www.gbif.org/species/5333294, https://www.gbif.org/species/5333249",https://cat.indores.fr/geonetwork/srv/eng/catalog.search#/metadata/Donnees_croissance_arbres_chataigners_Saint-Caprais_test_wil_0222
https://pndb.opendatasoft.com/explore/assets/adelie-penguins-as-monitor-of-the-marine-environment-ammer/,,,Pygoscelis adeliae,https://www.gbif.org/species/2481663,https://cat.indores.fr/geonetwork/srv/fre/catalog.search#/metadata/87c89058-9f1b-4388-a354-1254222c72f9
https://pndb.opendatasoft.com/explore/assets/distribution-de-psammechinus-miliaris-cperm-1172-aphiaid-124319-en-atlantique/,"Distribution de Psammechinus miliaris (CPERM 1172, AphiaID 124319) en ATLANTIQUE","Distribution du taxon Psammechinus miliaris établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Psammechinus miliaris,https://www.gbif.org/species/9808074,
https://pndb.opendatasoft.com/explore/assets/abondance-de-juveniles-de-sole-commune-solea-solea-observee-lors-des-campagnes-scientifiques-sur-la-periode-1998-2009/,Abondance de juvéniles de sole commune (Solea solea) observée lors des campagnes scientifiques sur la période 1998 – 2009,"Lien vers les données
L'abondance de juvéniles de sole commune (Solea solea) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Baie de Seine (1998-2002), Baie de Somme (2005-2009), Nurse Loire et Gironde (2000-2003), Nurse Vilaine (2003-2009), PECOS (2004-2006). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Solea solea,https://www.gbif.org/species/5214139,
https://pndb.opendatasoft.com/explore/assets/abondance-de-bar-dicentrarchus-labrax-observee-lors-des-campagnes-scientifiques-sur-la-periode-2005-2009/,Abondance de bar (Dicentrarchus labrax) observée lors des campagnes scientifiques sur la période 2005 – 2009,"Lien vers les données
L'abondance de bar (Dicentrarchus labrax) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : CGFS (2005-2009), EVHOE (2005-2009). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Dicentrarchus labrax,https://www.gbif.org/species/2394622,
https://pndb.opendatasoft.com/explore/assets/inventaire-des-bancs-dhermelles-sabelaria-alveolata-des-cotes-des-pertuis-charentais-etat-2012/,Inventaire des bancs d’hermelles Sabelaria alveolata des côtes des Pertuis Charentais. Etat 2012,"Lien vers les données
La distribution géographique des principaux bancs d’hermelles Sabellaria alveolata (Linné, 1767) des côtes des Pertuis Charentais a été dressée de 2010 à 2012. L’inventaire porte sur les bancs d’estrans (+ 6 à 0 m cote marine) et compile deux sources cartographiques issues du projet CARTHAM Natura 2000 en mer de l’Agence des Aires Marines Protégées : 1) les inventaires d’hermelles réalisés en 2011 par l’association IODDE sur l’Ouest de l’île d’Oléron et 2) les inventaires cartographiques des habitats marins intertidaux réalisés par LIENSs (en coopération avec CREOCEAN, Ré Nature Environnement, GEO-Transfert et la LPO Moëze-Oléron). Les méthodologies utilisées par IODDE sur Oléron combinent les vérités terrain avec report sous Système d’Informations Géographiques (SIG). Les méthodologies utilisées par LIENSs pour estimer l’extension des habitats intertidaux dans l’ensemble des Pertuis Charentais combinent analyses d’images aériennes, la télédétection, la validations terrain par GPS différentiel et analyses thématiques sous SIG (Cajeri et al., 2012). C’est au cours de ces vérités terrain qu’a été relevée la présence ponctuelle de plaquages ou de petits récifs d’hermelles. Les résultats d’IODDE ont permis de dresser un inventaire quasi exhaustif des récifs d’hermelles de l’ouest d’Oléron. Ceux de LIENSs ont permis de préciser la répartition des hermelles sur la plupart des estrans les Pertuis Charentais.",Sabellaria alveolata,https://www.gbif.org/species/5199252,
https://pndb.opendatasoft.com/explore/assets/distribution-de-jorunna-tomentosa-cperm-2418-aphiaid-140166-en-atlantique/,"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE","Lien vers les données
Distribution du taxon Jorunna tomentosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Jorunna tomentosa,https://www.gbif.org/species/11432852,
https://pndb.opendatasoft.com/explore/assets/nidification-du-puffin-de-baillon-puffinus-lherminieri-a-la-reunion/,Nidification du Puffin de Baillon (Puffinus lherminieri) à La Réunion,Lien vers les données,Puffinus lherminieri,https://www.gbif.org/species/5229361,
https://pndb.opendatasoft.com/explore/assets/2012-frequence-dobservation-des-differentes-especes-de-cetaces-autour-de-lile-de-la-reunion-en-2012-selon-une-grille-de-maille-2kmx2km/,2012 - Fréquence d'observation des différentes espèces de cétacés autour de l'île de La Réunion en 2012 selon une grille de maille 2kmx2km,"Lien vers les données
Cartographie des fréquences d'observation des différentes espèces de cétacés autour de l'île de La Réunion en 2012 selon une grille de maille 2kmx2km.","Megaptera novaeangliae, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus
","https://www.gbif.org/species/5220086, https://www.gbif.org/species/5220050, https://www.gbif.org/species/5220060, https://www.gbif.org/species/2440455, https://www.gbif.org/species/2440447",https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/f6c7517a-1693-4a14-8d26-c9a3929ed729
