Title,Ground Truth,LLM Extracted (Validated),Precision,Recall,Accuracy,F1,Raw_Precision,Raw_Recall,Raw_Accuracy,Raw_F1,Accepted Names JSON,Misspellings Found,Unrecognized
"Diversité des pratiques agricoles et des insectes auxiliaires (carabes) (Ille et Vilaine sud, 2012-2013)",,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,{},,"Coccinella, Carabus, Pterothorax (Pucerons)"
"Carte de répartition d'Ophioglossum lusitanicum, Ouessant (2005)",Ophioglossum lusitanicum,Ophioglossum lusitanicum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Ophioglossum lusitanicum"": ""https://www.gbif.org/species/2650128""}",,
"Carte de répartition de Rumex rupestris, Ouessant (2005)",Rumex rupestris,Rumex rupestris,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Rumex rupestris"": ""https://www.gbif.org/species/4036610""}",,
RhônEco - Baix-le-Logis-neuf 2010-2018 : Suivi scientifique du programme de restauration hydraulique et écologique du Rhône,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Zones d'alimentation des couples de craves à bec rouge, Ouessant (1998)",Pyrrhocorax pyrrochorax,"Pyrrhocorax pyrrhocorax, Pyrrhocorax pyrrhocorax",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""Pyrrhocorax pyrrhocorax"": ""https://www.gbif.org/species/2482552""}","Pyrrhocorax pyrrrhocorax, Pyrrhocorax pyrrrochorax",
"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)",Lyallia kerguelensis,Lyallia kerguelensis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Lyallia kerguelensis"": ""https://www.gbif.org/species/3701799""}",,
Suivi Lievre GPS Domagné 2022 - Zone Atelier Armorique ZAAr,Lepus europaeus,Lepus europaeus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Lepus europaeus"": ""https://www.gbif.org/species/7952072""}",,
La flore adventice associée au semis direct sous couvert. Enquête sur un réseau d'agriculteurs en Bourgogne-Franche-Comté: 2018-2019.,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Suivi de la faune benthique dans les substrats meubles - Rade de Brest - 2023,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Abondance d'huître plate (Ostrea edulis) observée lors des campagnes scientifiques sur la période 2007 – 2010,Ostrea edulis,Ostrea edulis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Ostrea edulis"": ""https://www.gbif.org/species/2286060""}",,
"Suivi de l'ichtyofaune de la Réserve Naturelle Cerbère-Banyuls (RNCB) : mérou, corb, sar tambour","Epinephelus marginatus, Sciaena umbra, Diplodus cervinus","Epinephelus marginatus, Sciaena umbra, Diplodus cervinus",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Epinephelus marginatus"": ""https://www.gbif.org/species/2388507"", ""Sciaena umbra"": ""https://www.gbif.org/species/2399670"", ""Diplodus cervinus"": ""https://www.gbif.org/species/5712108""}",,
"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)",Lyallia kerguelensis,Lyallia kerguelensis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Lyallia kerguelensis"": ""https://www.gbif.org/species/3701799""}",,
Abondance de petit tacaud (Trisopterus minutus) observée lors des campagnes scientifiques sur la période 2005 – 2010,Trisopterus minutus,Trisopterus minutus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Trisopterus minutus"": ""https://www.gbif.org/species/2415906""}",,
A gridded sea surface salinity data set for the Pacific Ocean,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Annually binned Sea Surface Salinity, Temperature and Density in the North Atlantic subpolar gyre (40°N-70°N)",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"0-250 m ocean temperature, mooring line, Azur Buoy",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"0-250 m ocean temperature, mooring line, Lion Buoy",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Données annuelles de 2014 à 2019,issues des enquêtes sur les pratiques agricoles (phytosanitaires,fertilisation et travail du sol) dans les parcelles du réseau SEBIOPAG,site d'étude des Vallées et Coteaux de Gascogne",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Données botaniques annuelle des rélévées effectués dans les parcelles de grandes cultures étudiées dans le cadre du réseau SEBIOPAG,de 2014 à 2019",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Inventaire des gisements de pétoncle (Chlamys varia L.) dans la région de La Rochelle (Letaconnoux & Audouin, 1956). Etat 1951.","Chlamys varia, Mimachlamys varia","Chlamys varia, Mimachlamys varia",1.0,1.0,1.0,1.0,0.4,1.0,0.4,0.571,"{""Chlamys varia"": ""https://www.gbif.org/species/5188879"", ""Mimachlamys varia"": ""https://www.gbif.org/species/4373480""}",,"Letaconnoux, Audouin, Linné"
"Dental Microwear textures of extant ruminants from the Bauges Regional Natural Park, France","Capreolus capreolus, Cervus elaphus, Ovis gmelini, Rupicapra rupicapra","Capreolus capreolus, Cervus elaphus, Ovis gmelini, Rupicapra rupicapra",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Capreolus capreolus"": ""https://www.gbif.org/species/5220126"", ""Cervus elaphus"": ""https://www.gbif.org/species/2440958"", ""Ovis gmelini"": ""https://www.gbif.org/species/9542814"", ""Rupicapra rupicapra"": ""https://www.gbif.org/species/5220170""}",,
"Inventaire des gisements de pétoncle (Chlamys varia L.) dans la région de La Rochelle (Letaconnoux & Audouin, 1956). Etat 1951.","Chlamys varia, Mimachlamys varia","Chlamys varia, Mimachlamys varia",1.0,1.0,1.0,1.0,0.4,1.0,0.4,0.571,"{""Chlamys varia"": ""https://www.gbif.org/species/5188879"", ""Mimachlamys varia"": ""https://www.gbif.org/species/4373480""}",,"Letaconnoux, Audouin, Linné"
Composition de la richesse spécifique de la macrofaune regroupée par groupes trophiques observée par vidéo rotative STAVIRO par station en Nouvelle-Calédonie,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"DCSMM2018 - OM - D1C4 - Répartition spatiale des oiseaux en mer (""Grands puffins - Puffinus gravis & Puffinus griseus"", 2012)","Puffinus gravis, Puffinus griseus","Puffinus gravis, Puffinus griseus",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Puffinus gravis"": ""https://www.gbif.org/species/5229343"", ""Puffinus griseus"": ""https://www.gbif.org/species/5739277""}",,
Déchets ingérés par les tortues marines en Atlantique et en Méditerranée,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Suivi dispersion graines adventices, Le Rheu, 2021","Avena fatua, Lolium multiflorum, Sonchus asper, Fallopia convolvulus, Galium aparine, Anisantha sterilis","Avena fatua, Lolium multiflorum, Sonchus asper, Fallopia convolvulus, Galium aparine, Anisantha sterilis",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Avena fatua"": ""https://www.gbif.org/species/2705297"", ""Lolium multiflorum"": ""https://www.gbif.org/species/4129708"", ""Sonchus asper"": ""https://www.gbif.org/species/3105782"", ""Fallopia convolvulus"": ""https://www.gbif.org/species/6391461"", ""Galium aparine"": ""https://www.gbif.org/species/2913548"", ""Anisantha sterilis"": ""https://www.gbif.org/species/2703648""}",,
2008 - Fréquence d'observation des différentes espèces de cétacés autour de l'île de La Réunion en 2008 selon une grille de maille 2kmx2km,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Distribution de la faune et flore marine au large de l’île de Ré. Synthèse 1941,"Zostera marina, Zostera noltii, Pholas dactylus, Cerastoderma edule, Mimachlamys varia, Chlamys varia, Crassostrea angulata, Mytilus edulis, Himanthalia elongata, Himanthalia lorea, Chondrus crispus","Zostera marina, Zostera noltii, Pholas dactylus, Cerastoderma edule, Mimachlamys varia, Crassostrea angulata, Mytilus edulis, Himanthalia elongata, Chondrus crispus",1.0,0.818,0.818,0.9,0.818,0.818,0.692,0.818,"{""Zostera marina"": ""https://www.gbif.org/species/2863967"", ""Zostera noltii"": ""https://www.gbif.org/species/2863938"", ""Pholas dactylus"": ""https://www.gbif.org/species/2288792"", ""Cerastoderma edule"": ""https://www.gbif.org/species/2286583"", ""Mimachlamys varia"": ""https://www.gbif.org/species/4373480"", ""Crassostrea angulata"": ""https://www.gbif.org/species/2286078"", ""Mytilus edulis"": ""https://www.gbif.org/species/8288896"", ""Himanthalia elongata"": ""https://www.gbif.org/species/3197836"", ""Chondrus crispus"": ""https://www.gbif.org/species/5279115""}",,"Laminaria (no specific species mentioned, but genus is Laminaria)"
Inventaire des herbiers à Zostera noltii dans la masse d’eau côtière Pertuis charentais. Etat 2007 surveillance DCE,"Zostera nolti, Zostera marina","Zostera noltii, Zostera marina",0.5,0.5,0.333,0.5,0.5,0.5,0.333,0.5,"{""Zostera noltii"": ""https://www.gbif.org/species/2863938"", ""Zostera marina"": ""https://www.gbif.org/species/2863967""}",,
"Cartographie des colonies de crépidules (Crepidula fornicata Linné, 1758) dans les pertuis charentais. Etat 2008-2009",Crepidula fornicata,Crepidula fornicata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Crepidula fornicata"": ""https://www.gbif.org/species/5192789""}",,
"Inventaire des gisements de pétoncle (Chlamys varia L.) dans la région de La Rochelle (Letaconnoux & Audouin, 1956). Etat 1951.","Chlamys varia, Mimachlamys varia","Chlamys varia, Mimachlamys varia",1.0,1.0,1.0,1.0,0.4,1.0,0.4,0.571,"{""Chlamys varia"": ""https://www.gbif.org/species/5188879"", ""Mimachlamys varia"": ""https://www.gbif.org/species/4373480""}",,"Letaconnoux, Audouin, Linné"
GHRSST Level 2P Global Near-Real-Time Subskin Sea Surface Temperature version 8.2 (v8.2) from the Advanced Microwave Scanning Radiometer 2 (AMSR2) on the GCOM-W satellite by REMSS,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Distribution des moules Mytilus edulis hors des parcs dans le bassin de Marennes-Oléron. Etat 1981,Mytilus edulis,Mytilus edulis,1.0,1.0,1.0,1.0,0.333,1.0,0.333,0.5,"{""Mytilus edulis"": ""https://www.gbif.org/species/8288896""}",,"Charcot, Hily"
"Cartographie des colonies de crépidules Crepidula fornicata Linné, 1758 dans les pertuis charentais. Etat 2008-2009",Crepidula fornicata,Crepidula fornicata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Crepidula fornicata"": ""https://www.gbif.org/species/5192789""}",,
Suivi pluri annuel de la croissance de châtaigniers à double fin (production de bois et de fruits) sur un dispositif expérimental à Saint Caprais (46),"Castanea sativa, Castanea crenata","Castanea sativa, Castanea crenata",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Castanea sativa"": ""https://www.gbif.org/species/5333294"", ""Castanea crenata"": ""https://www.gbif.org/species/5333249""}",,
Adelie penguins as Monitor of the Marine EnviRonment (AMMER),Pygoscelis adeliae,Pygoscelis adeliae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Pygoscelis adeliae"": ""https://www.gbif.org/species/2481663""}",,
"Distribution de Psammechinus miliaris (CPERM 1172, AphiaID 124319) en ATLANTIQUE",Psammechinus miliaris,Psammechinus miliaris,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Psammechinus miliaris"": ""https://www.gbif.org/species/9808074""}",,
Abondance de juvéniles de sole commune (Solea solea) observée lors des campagnes scientifiques sur la période 1998 – 2009,Solea solea,Solea solea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Solea solea"": ""https://www.gbif.org/species/5214139""}",,
Abondance de bar (Dicentrarchus labrax) observée lors des campagnes scientifiques sur la période 2005 – 2009,Dicentrarchus labrax,Dicentrarchus labrax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Dicentrarchus labrax"": ""https://www.gbif.org/species/2394622""}",,
Inventaire des bancs d’hermelles Sabelaria alveolata des côtes des Pertuis Charentais. Etat 2012,Sabellaria alveolata,Sabellaria alveolata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Sabellaria alveolata"": ""https://www.gbif.org/species/5199252""}",,
"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE",Jorunna tomentosa,Jorunna tomentosa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Jorunna tomentosa"": ""https://www.gbif.org/species/2292454""}",,
Nidification du Puffin de Baillon (Puffinus lherminieri) à La Réunion,Puffinus lherminieri,Puffinus lherminieri,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Puffinus lherminieri"": ""https://www.gbif.org/species/5229361""}",,
2012 - Fréquence d'observation des différentes espèces de cétacés autour de l'île de La Réunion en 2012 selon une grille de maille 2kmx2km,"Megaptera novaeangliae, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus","Megaptera novaeangliae, Stenella attenuata, Stenella longirostris, Tursiops aduncus, Tursiops truncatus",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Megaptera novaeangliae"": ""https://www.gbif.org/species/5220086"", ""Stenella attenuata"": ""https://www.gbif.org/species/5220050"", ""Stenella longirostris"": ""https://www.gbif.org/species/5220060"", ""Tursiops aduncus"": ""https://www.gbif.org/species/2440455"", ""Tursiops truncatus"": ""https://www.gbif.org/species/2440447""}",,
Nids de Craves à bec rouge sur Ouessant,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Pyrrhocorax pyrrhocorax"": ""https://www.gbif.org/species/2482552""}",,
"Zones d'alimentation des couples de craves à bec rouge, Ouessant (2003)",Pyrrhocorax pyrrhocorax,"Pyrrhocorax pyrrhocorax, Pyrrhocorax pyrrhocorax",1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.667,"{""Pyrrhocorax pyrrhocorax"": ""https://www.gbif.org/species/2482552""}",Pyrrhocorax pyrrrochorax,
Abondance d’œufs de balai (Hippoglossoides platessoides) observée lors de la campagne scientifique IBTS sur la période 2006 – 2010,Hippoglossoides platessoides,Hippoglossoides platessoides,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Hippoglossoides platessoides"": ""https://www.gbif.org/species/2409104""}",,
"Biomasse annuelle de l'espèce Funiculina quadrangularis dans le Golfe du Lion (MEDITS, 2012-2019)",Funiculina quadrangularis,Funiculina quadrangularis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Funiculina quadrangularis"": ""https://www.gbif.org/species/2258652""}",,
Campagne CIEM de chalutage en Mer du Nord (DATRAS NS-IBTS),,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Capture par unité d'effort moyenne et écart-type de l'espèce Argentina sphyraena dans le Golfe du Lion (Données SIH, 2015-2019)",Argentina sphyraena,Argentina sphyraena,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Argentina sphyraena"": ""https://www.gbif.org/species/5214448""}",,
"Capture par unité d'effort moyenne et écart-type de l'espèce Lepidotrigla cavillone dans le Golfe du Lion (Données SIH, 2015-2019)",Lepidotrigla cavillone,Lepidotrigla cavillone,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Lepidotrigla cavillone"": ""https://www.gbif.org/species/2336734""}",,
Cartographie de la répartition de la crépidule (Crepidula formicata) des abords de Saint-Malo à la baie du Mont Saint-Michel (État 1993-1996).,Crepidula fornicata,Crepidula fornicata,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"{""Crepidula fornicata"": ""https://www.gbif.org/species/5192789""}",Crepidula formicata,
Campagnes d'échantillonnage de l'ombre commun (Thymallus Thymallus) (2014-2016),Thymallus thymallus,Thymallus thymallus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Thymallus thymallus"": ""https://www.gbif.org/species/5203999""}",,
"Biomasse moyenne et écart-type de l'espèce pennatula rubra dans le Golfe du Lion (MEDITS, 2015-2019) - Cartographie sans interpolation",Pennatula rubra,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},,
